,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Constitucion,0,MX,1541226397,79,23.99,-104.67,42.62,3.49
1,Rikitea,68,PF,1541226789,100,-23.12,-134.97,71.33,12.66
2,Batagay-Alyta,0,RU,1541226800,59,67.8,130.41,-14.27,4.05
3,Ushuaia,75,AR,1541224800,43,-54.81,-68.31,50,23.04
4,Spokane,90,US,1541224680,60,47.66,-117.42,50,6.93
5,Vaini,12,IN,1541226788,55,15.34,74.49,87.12,6.17
6,Busselton,0,AU,1541226962,91,-33.64,115.35,66.65,14.67
7,Jamestown,20,AU,1541225968,34,-33.21,138.6,76.37,6.96
8,Pevek,68,RU,1541226784,100,69.7,170.27,13.37,6.62
9,Rudersberg,90,DE,1541226000,93,48.41,11.22,46.4,4.7
10,Borogontsy,64,RU,1541227253,63,62.67,131.17,13.41,8.3
11,Kaka,0,TM,1541227253,91,37.35,59.62,39.2,3.38
12,Shafranovo,88,RU,1541227254,96,53.97,54.77,33.39,4.16
13,Karratha,68,AU,1541226842,21,-20.74,116.85,98.51,6.73
14,Yellowknife,90,CA,1541224800,92,62.45,-114.38,23,4.7
16,Flinders,0,AU,1541226862,32,-34.58,150.85,80.33,5.39
17,Punta Arenas,75,CL,1541224800,81,-53.16,-70.91,44.6,9.17
18,Verkhnevilyuysk,56,RU,1541227254,65,63.45,120.31,13.14,7.63
19,Longyearbyen,20,NO,1541224200,67,78.22,15.63,21.2,31.09
20,Albany,90,US,1541225940,100,42.65,-73.75,55.94,1.92
21,Faanui,68,PF,1541226246,100,-16.48,-151.75,77.04,10.76
22,Marystown,92,CA,1541227255,100,47.17,-55.16,43.88,12.55
23,Kodiak,1,US,1541224380,100,39.95,-94.76,42.08,4.7
24,East London,0,ZA,1541224800,52,-33.02,27.91,66.2,18.34
26,Hokitika,100,NZ,1541227256,100,-42.72,170.96,56.03,16.58
27,Taoudenni,0,ML,1541227256,46,22.68,-3.98,52.34,10.98
28,Bluff,68,AU,1541226796,29,-23.58,149.07,90.5,6.06
29,Ribeira Grande,8,PT,1541226404,98,38.52,-28.7,68.22,8.52
31,Nabire,68,ID,1541227045,92,-3.36,135.5,75.38,1.92
32,Cape Town,0,ZA,1541224800,52,-33.93,18.42,68,1.12
33,Dwarka,40,IN,1541226600,54,28.58,77.04,80.6,8.05
34,Husavik,88,CA,1541226884,99,50.56,-96.99,32.63,6.4
35,Hermanus,76,ZA,1541226787,51,-34.42,19.24,62.37,2.93
36,New Norfolk,0,AU,1541225220,60,-42.78,147.06,57.2,18.34
37,Qarayeri,90,AZ,1541224800,81,40.79,46.31,48.2,2.24
